             0            1       2     3     4    5        6        7        8        9              10      11
0   NC_003143.1  NC_003902.1  70.915  7203  1729  294  4197357  4204372  1050459  1043436   0.000000e+00  2831.0
1   NC_003143.1  NC_003902.1  82.814  3212   421   97  3648978  3652127  4557678  4560820   0.000000e+00  2805.0
2   NC_003143.1  NC_003902.1  82.814  3212   421   97  4175262  4178411  4557678  4560820   0.000000e+00  2805.0
3   NC_003143.1  NC_003902.1  82.820  3213   419   99    14253    17402  4560820  4557678   0.000000e+00  2805.0
4   NC_003143.1  NC_003902.1  82.814  3212   421   97  3648978  3652127  4945546  4948688   0.000000e+00  2805.0
5   NC_003143.1  NC_003902.1  82.814  3212   421   97  4175262  4178411  4945546  4948688   0.000000e+00  2805.0
6   NC_003143.1  NC_003902.1  82.820  3213   419   99    14253    17402  4948688  4945546   0.000000e+00  2805.0
7   NC_003143.1  NC_003902.1  82.747  3211   425   94  4384623  4387772  4557678  4560820   0.000000e+00  2797.0
8   NC_003143.1  NC_003902.1  82.747  3211   425   94  4384623  4387772  4945546  4948688   0.000000e+00  2797.0
9   NC_003143.1  NC_003902.1  82.690  3212   425   98  1219466  1222615  4560820  4557678   0.000000e+00  2789.0
10  NC_003143.1  NC_003902.1  82.690  3212   425   98  1219466  1222615  4948688  4945546   0.000000e+00  2789.0
11  NC_003143.1  NC_003902.1  82.664  3213   424   98  4218126  4221275  4557678  4560820   0.000000e+00  2785.0
12  NC_003143.1  NC_003902.1  82.664  3213   424   98  4218126  4221275  4945546  4948688   0.000000e+00  2785.0
13  NC_003143.1  NC_003902.1  85.067  1567   199   30  4178918  4180465  4561296  4562846   0.000000e+00  1532.0
14  NC_003143.1  NC_003902.1  85.067  1567   199   30  4388219  4389766  4561296  4562846   0.000000e+00  1532.0
15  NC_003143.1  NC_003902.1  85.067  1567   199   30    12259    13806  4562846  4561296   0.000000e+00  1532.0
16  NC_003143.1  NC_003902.1  85.067  1567   199   30  4178918  4180465  4949164  4950714   0.000000e+00  1532.0
17  NC_003143.1  NC_003902.1  85.067  1567   199   30  4388219  4389766  4949164  4950714   0.000000e+00  1532.0
18  NC_003143.1  NC_003902.1  85.067  1567   199   30    12259    13806  4950714  4949164   0.000000e+00  1532.0
19  NC_003143.1  NC_003902.1  85.003  1567   200   30  1217472  1219019  4562846  4561296   0.000000e+00  1528.0
20  NC_003143.1  NC_003902.1  84.994  1566   202   28  3652634  3654181  4561296  4562846   0.000000e+00  1528.0
21  NC_003143.1  NC_003902.1  85.003  1567   200   30  4221782  4223329  4561296  4562846   0.000000e+00  1528.0
22  NC_003143.1  NC_003902.1  85.003  1567   200   30  1217472  1219019  4950714  4949164   0.000000e+00  1528.0
23  NC_003143.1  NC_003902.1  84.994  1566   202   28  3652634  3654181  4949164  4950714   0.000000e+00  1528.0
24  NC_003143.1  NC_003902.1  85.003  1567   200   30  4221782  4223329  4949164  4950714   0.000000e+00  1528.0
25  NC_003143.1  NC_003902.1  67.478  1685   467   66  3517213  3518854  1134008  1132362  6.300000e-119   437.0
26  NC_003143.1  NC_003902.1  69.099  1110   295   37  1023533  1024615   918172   917084   5.950000e-97   364.0
27  NC_003143.1  NC_003902.1  66.616  1309   347   76   226781   228041  1060566  1061832   1.010000e-69   274.0
28  NC_003143.1  NC_003902.1  80.564   319    47   12  3955751  3956065   858275   857968   1.480000e-62   250.0
29  NC_003143.1  NC_003902.1  70.185   540   147   11  3069770  3070302  1935309  1934777   3.900000e-50   209.0
30  NC_003143.1  NC_003902.1  66.450   924   272   34  3782567  3783471  3883743  3884647   3.900000e-50   208.0
31  NC_003143.1  NC_003902.1  70.667   300    75   12  3183318  3183611  4509516  4509808   6.630000e-23   118.0
32  NC_003143.1  NC_003902.1  92.045    88     6    1   379428   379515  2496942  2496856   1.800000e-21   113.0
33  NC_003143.1  NC_003902.1  94.937    79     4    0  2115031  2115109  2496937  2496859   5.400000e-21   111.0
34  NC_003143.1  NC_003902.1  92.941    85     4    2   379429   379512  2497240  2497157   5.400000e-21   111.0
35  NC_003143.1  NC_003902.1  92.857    84     4    2  2115031  2115112  2497236  2497153   1.620000e-20   110.0
36  NC_003143.1  NC_003902.1  93.827    81     4    1  3652450  3652530  4561026  4561105   1.620000e-20   110.0
37  NC_003143.1  NC_003902.1  93.827    81     4    1  4178734  4178814  4561026  4561105   1.620000e-20   110.0
38  NC_003143.1  NC_003902.1  93.827    81     4    1  4221598  4221678  4561026  4561105   1.620000e-20   110.0
39  NC_003143.1  NC_003902.1  93.827    81     4    1  3652450  3652530  4948894  4948973   1.620000e-20   110.0
40  NC_003143.1  NC_003902.1  93.827    81     4    1  4178734  4178814  4948894  4948973   1.620000e-20   110.0
